proprietary_name,openfda.device_name,product_code,created_date,cleaned_proprietary_name
"['Total Blood Hemoglobin (tHb) Algorithm', 'Edwards Algorithm for Measurement of Blood Hemoglobin']","Oximeter, Tissue Saturation",MUD,2024-10-29,'total blood hemoglobin (thb) algorithm' 'edwards algorithm for measurement of blood hemoglobin'
['DTX Studio\x99 Clinic'],"System, Image Processing, Radiological",LLZ,2024-01-16,'dtx studio\x99 clinic'
['DTX Studio\x99 Clinic'],"Analyzer, Medical Image",MYN,2024-01-16,'dtx studio\x99 clinic'
['NeuroCatch® Platform'],"Computerized Cognitive Assessment Aid, Exempt",PTY,2022-06-30,'neurocatch® platform'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Echo, Ultrasonic",IYO,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Doppler, Ultrasonic",IYN,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","Transducer, Ultrasonic, Diagnostic",ITX,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
['Spectrum IQ Infusion System with Dose IQ Safety Software'],"Pump, Infusion",FRN,2024-10-25,'spectrum iq infusion system with dose iq safety software'
['Spectrum IQ Infusion System with Dose IQ Safety Software'],Infusion Safety Management Software,PHC,2024-10-25,'spectrum iq infusion system with dose iq safety software'
"['Sterile Hypodermic Syringe with/without Needle; Sterile Hypodermic Needle', 'Syringe Volume: 1 mL, 2 mL, 2.5 mL, 3 mL, 5 mL, 10 mL, 20 mL, 30 mL, 50 mL, 60 mL, 100 mL', 'Needle Gauge: 30G, 29G, 28G, 27G, 26G, 25G, 24G, 23G, 22G, 21G, 20G, 19G, 18G, 17G, 16G, 15G']","Syringe, Piston",FMF,2022-11-08,'sterile hypodermic syringe with/without needle; sterile hypodermic needle' 'syringe volume: 1 ml 2 ml 2.5 ml 3 ml 5 ml 10 ml 20 ml 30 ml 50 ml 60 ml 100 ml' 'needle gauge: 30g 29g 28g 27g 26g 25g 24g 23g 22g 21g 20g 19g 18g 17g 16g 15g'
"['Sterile Hypodermic Syringe with/without Needle; Sterile Hypodermic Needle', 'Syringe Volume: 1 mL, 2 mL, 2.5 mL, 3 mL, 5 mL, 10 mL, 20 mL, 30 mL, 50 mL, 60 mL, 100 mL', 'Needle Gauge: 30G, 29G, 28G, 27G, 26G, 25G, 24G, 23G, 22G, 21G, 20G, 19G, 18G, 17G, 16G, 15G']","Needle, Hypodermic, Single Lumen",FMI,2022-11-08,'sterile hypodermic syringe with/without needle; sterile hypodermic needle' 'syringe volume: 1 ml 2 ml 2.5 ml 3 ml 5 ml 10 ml 20 ml 30 ml 50 ml 60 ml 100 ml' 'needle gauge: 30g 29g 28g 27g 26g 25g 24g 23g 22g 21g 20g 19g 18g 17g 16g 15g'
"['Wearable Breast Pump, (YY-5030);', 'Wearable Breast Pump, (Model S9);', 'Wearable Breast Pump, (Model S19);', 'Wearable Breast Pump, (Model S10pro);', 'Wearable Breast Pump, (Model S10);']","Pump, Breast, Powered",HGX,2024-06-13,'wearable breast pump (yy-5030);' 'wearable breast pump (model s9);' 'wearable breast pump (model s19);' 'wearable breast pump (model s10pro);' 'wearable breast pump (model s10);'
['DTX Studio Clinic'],"System, Image Processing, Radiological",LLZ,2022-05-09,'dtx studio clinic'
"['Thermo Clone VPS Fast Alginate Alternative 380 ml Kit', 'Thermo Clone VPS Alginate Alternative 2x50 ml Kit', 'Thermo Clone VPS Alginate Alternative 10x50 ml Bulk Pack']","Material, Impression",ELW,2023-01-17,'thermo clone vps fast alginate alternative 380 ml kit' 'thermo clone vps alginate alternative 2x50 ml kit' 'thermo clone vps alginate alternative 10x50 ml bulk pack'
"['Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: Zimmer® Eztetic® 2.9 mm', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: Neoss® ProActive® Narrow3.25', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: MIS® SEVEN® 5/6 (WP)', 'Inclusive® Multi-Unit Coping 4.5 mmH compatible with: Neoss® ProActive®', 'Inclusive® Titanium Abutment Blank compatible with: MIS® SEVEN® 3.75/4.20 (SP)', 'Inclusive® Titanium Abutment Blank compatible with: MIS® SEVEN® 5/6 (WP)', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: Zimmer® Eztetic® 2.9 mm', 'Inclusive® Multi-Unit Coping 8 mmH compatible with: Neoss® ProActive®', 'Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: MIS® SEVEN® 3.3 (NP)', 'Inclusive® Titanium Abutment Blank compatible with: Neoss® ProActive® Narrow 3.25', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: MIS® SEVEN® 3.75/4.20 (SP)', 'Inclusive® Titanium Abutment Blank compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: MIS® SEVEN® 3.75/4.20 (SP)', 'Inclusive® Titanium Screw compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: MIS® SEVEN® 5/6 (WP)', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: Neoss® ProActive® Narrow 3.25', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: MIS® SEVEN® 3.3 (NP)', 'Inclusive® Multi-Unit Coping Screw compatible with: Neoss® ProActive®', 'Inclusive® Titanium Abutment Blank compatible with: Zimmer® Eztetic® 2.9 mm', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: MIS® SEVEN® 5/6 (WP)', 'Inclusive® GL Titanium Abutment 6 mmH compatible with: MIS® SEVEN® 3.3 (NP)', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: Neoss® ProActive® Narrow 3.25', 'Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: Zimmer® Eztetic® 2.9 mm', 'Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: Neoss® ProActive® Narrow 3.25', 'Inclusive® Titanium Abutment Blank compatible with: MIS® SEVEN® 3.3 (NP)', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: Zimmer® Eztetic® 2.9 mm', 'Inclusive® GL Titanium Abutment 4.5 mmH compatible with: MIS® SEVEN®3.75/4.20 (SP)', 'Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: MIS® SEVEN® 3.75/4.20 (SP)', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: Neoss® ProActive® Standard Platform SP', 'Inclusive® Titanium Abutment 4.5 mmH, Non-Engaging, compatible with: MIS® SEVEN® 5/6 (WP)', 'Inclusive® Titanium Abutment 6 mmH, Non-Engaging, compatible with: MIS® SEVEN® 3.3 (NP)', 'Inclusive® Titanium Screw compatible with: Neoss® ProActive® Narrow 3.25']","Abutment, Implant, Dental, Endosseous",NHA,2024-06-25,'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: neoss® proactive® standard platform sp' 'inclusive® gl titanium abutment 4.5 mmh compatible with: zimmer® eztetic® 2.9 mm' 'inclusive® gl titanium abutment 6 mmh compatible with: neoss® proactive® narrow3.25' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: mis® seven® 5/6 (wp)' 'inclusive® multi-unit coping 4.5 mmh compatible with: neoss® proactive®' 'inclusive® titanium abutment blank compatible with: mis® seven® 3.75/4.20 (sp)' 'inclusive® titanium abutment blank compatible with: mis® seven® 5/6 (wp)' 'inclusive® gl titanium abutment 6 mmh compatible with: zimmer® eztetic® 2.9 mm' 'inclusive® multi-unit coping 8 mmh compatible with: neoss® proactive®' 'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: mis® seven® 3.3 (np)' 'inclusive® titanium abutment blank compatible with: neoss® proactive® narrow 3.25' 'inclusive® gl titanium abutment 6 mmh compatible with: mis® seven® 3.75/4.20 (sp)' 'inclusive® titanium abutment blank compatible with: neoss® proactive® standard platform sp' 'inclusive® gl titanium abutment 4.5 mmh compatible with: neoss® proactive® standard platform sp' 'inclusive® gl titanium abutment 6 mmh compatible with: neoss® proactive® standard platform sp' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: mis® seven® 3.75/4.20 (sp)' 'inclusive® titanium screw compatible with: neoss® proactive® standard platform sp' 'inclusive® gl titanium abutment 6 mmh compatible with: mis® seven® 5/6 (wp)' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: neoss® proactive® narrow 3.25' 'inclusive® gl titanium abutment 4.5 mmh compatible with: mis® seven® 3.3 (np)' 'inclusive® multi-unit coping screw compatible with: neoss® proactive®' 'inclusive® titanium abutment blank compatible with: zimmer® eztetic® 2.9 mm' 'inclusive® gl titanium abutment 4.5 mmh compatible with: mis® seven® 5/6 (wp)' 'inclusive® gl titanium abutment 6 mmh compatible with: mis® seven® 3.3 (np)' 'inclusive® gl titanium abutment 4.5 mmh compatible with: neoss® proactive® narrow 3.25' 'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: zimmer® eztetic® 2.9 mm' 'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: neoss® proactive® narrow 3.25' 'inclusive® titanium abutment blank compatible with: mis® seven® 3.3 (np)' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: zimmer® eztetic® 2.9 mm' 'inclusive® gl titanium abutment 4.5 mmh compatible with: mis® seven®3.75/4.20 (sp)' 'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: mis® seven® 3.75/4.20 (sp)' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: neoss® proactive® standard platform sp' 'inclusive® titanium abutment 4.5 mmh non-engaging compatible with: mis® seven® 5/6 (wp)' 'inclusive® titanium abutment 6 mmh non-engaging compatible with: mis® seven® 3.3 (np)' 'inclusive® titanium screw compatible with: neoss® proactive® narrow 3.25'
"['PillCam software', 'PillCam endoscopy system', 'PillCam Crohn capsule']","System, Imaging, Gastrointestinal, Wireless, Capsule",NEZ,2024-10-15,'pillcam software' 'pillcam endoscopy system' 'pillcam crohn capsule'
"['PillCam software', 'PillCam endoscopy system', 'PillCam Crohn capsule']",Colon Capsule Imaging System,PGD,2024-10-15,'pillcam software' 'pillcam endoscopy system' 'pillcam crohn capsule'
"['IgniteRF', 'Votiva', 'EMBRACE/INMODE RF (System platform)', 'BodyTite Pro', 'INMODE RF PRO (System platform)']","Electrosurgical, Cutting & Coagulation & Accessories",GEI,2024-04-21,'igniterf' 'votiva' 'embrace/inmode rf (system platform)' 'bodytite pro' 'inmode rf pro (system platform)'
['Nanox AI Web Viewer'],"System, Digital Image Communications, Radiological",LMD,2022-04-20,'nanox ai web viewer'
"['Digital Analog', 'Lab Analog', 'Screw Driver', 'Scan Body Kit', 'Scan Body']","Accessories, Implant, Dental, Endosseous",NDP,2025-02-06,'digital analog' 'lab analog' 'screw driver' 'scan body kit' 'scan body'
['Deep Learning Image Reconstruction'],"System, X-Ray, Tomography, Computed",JAK,2024-05-30,'deep learning image reconstruction'
"['RC Imaging Complete View Platform with Swivel 360 System', 'RC Imaging 2-Step Platform', 'RC Imaging Complete View Platform', 'RC Imaging 1-Step Platform', 'RC Imaging 2-Step Platform with Swivel 360 System', 'RC Imaging X-Arm Weight Bearing Platform']","Support, Patient Position",CCX,2022-08-10,'rc imaging complete view platform with swivel 360 system' 'rc imaging 2-step platform' 'rc imaging complete view platform' 'rc imaging 1-step platform' 'rc imaging 2-step platform with swivel 360 system' 'rc imaging x-arm weight bearing platform'
"['CloudCath Connect - Patient Monitoring Software', 'CloudCath Drain Set - Baxter Configuration', 'CloudCath Drain Set - Fresenius Configuration', 'CloudCath', 'CloudCath Sensor (Sensing Hardware)']","System, Peritoneal, Automatic Delivery",FKX,2022-06-20,'cloudcath connect - patient monitoring software' 'cloudcath drain set - baxter configuration' 'cloudcath drain set - fresenius configuration' 'cloudcath' 'cloudcath sensor (sensing hardware)'
"['Denu Intraoral Camera Cover', 'Denu Digital Sensor Cover', 'Denu Bite Block Cover']","Chair, Dental, Without Operative Unit",NRU,2023-06-23,'denu intraoral camera cover' 'denu digital sensor cover' 'denu bite block cover'
"['Monarch Platform Drape Kit, CFG Drape, and Sheath Mount Drape']","Drape, Surgical, Exempt",PUI,2022-12-28,'monarch platform drape kit cfg drape and sheath mount drape'
"['Tectus', 'Blatchford Digital Health App - Tectus']","Joint, Knee, External Brace",ITQ,2023-03-15,'tectus' 'blatchford digital health app - tectus'
['Pediatric Nailing Platform Femur'],"Rod, Fixation, Intramedullary And Accessories",HSB,2022-09-02,'pediatric nailing platform femur'
['prolaio Medical Device Data System Platform'],Medical Device Data System,OUG,2024-02-29,'prolaio medical device data system platform'
"['Reusable Clip Appliers FRD-XL', 'Reusable Clip Appliers FRA-L', 'Reusable Clip Applier FRC27*9-XL', 'Reusable Clip Appliers FRA-XL', 'Reusable Clip Applier FRC27*70-ML', 'Reusable Clip Applier FRC27*70-XL', 'Reusable Clip Appliers FRB-ML', 'Reusable Clip Appliers FRC20*9-L', 'Reusable Clip Applier FRC27*70-L', 'Reusable Clip Appliers FRC20*9-ML', 'Reusable Clip Appliers FRC20*9-XL', 'Reusable Clip Appliers FRB-L', 'Reusable Clip Applier FRC27*9-ML', 'Reusable Clip Appliers FRC20*70-XL', 'Reusable Clip Appliers FRC20*70-L', 'Reusable Clip Appliers FRC20*70-ML', 'Reusable Clip Appliers FRA-ML', 'Reusable Clip Appliers FRD-L', 'Reusable Clip Appliers FRD-ML', 'Reusable Clip Applier FRC27*9-L', 'Reusable Clip Appliers FRB-XL']","Applier, Surgical, Clip",GDO,2024-05-28,'reusable clip appliers frd-xl' 'reusable clip appliers fra-l' 'reusable clip applier frc27*9-xl' 'reusable clip appliers fra-xl' 'reusable clip applier frc27*70-ml' 'reusable clip applier frc27*70-xl' 'reusable clip appliers frb-ml' 'reusable clip appliers frc20*9-l' 'reusable clip applier frc27*70-l' 'reusable clip appliers frc20*9-ml' 'reusable clip appliers frc20*9-xl' 'reusable clip appliers frb-l' 'reusable clip applier frc27*9-ml' 'reusable clip appliers frc20*70-xl' 'reusable clip appliers frc20*70-l' 'reusable clip appliers frc20*70-ml' 'reusable clip appliers fra-ml' 'reusable clip appliers frd-l' 'reusable clip appliers frd-ml' 'reusable clip applier frc27*9-l' 'reusable clip appliers frb-xl'
"['52411A PATIENT REFERENCE ARRAY Y-GEOMETRY X-PRESS', '55104 INSTRUMENT ADAPTER CLAMP STARLINK SIZE XL', '55016 INSTRUMENT ADAPTER STARLINK EXTENSION 50 MM', '55102 INSTRUMENT ADAPTER CLAMP STARLINK SIZE M', '19142-06 RADIOLUCENT DRAPELINK INTERFACE FOR CALIBRATION PHANTOM INTRAOPERATIVE CT', '41802 INSTRUMENT TRACKING ARRAY STARLINK SIZE XL', '41799 INSTRUMENT TRACKING ARRAY STARLINK SIZE ML', '52410A PATIENT REFERENCE ARRAY T-GEOMETRY X-PRESS', '55103 INSTRUMENT ADAPTER CLAMP STARLINK SIZE L', '55101 INSTRUMENT ADAPTER CLAMP STARLINK SIZE S', '41798 INSTRUMENT TRACKING ARRAY STARLINK SIZE M', '41801 INSTRUMENT TRACKING ARRAY STARLINK SIZE L', '55830-29 INSTRUMENT TRACKING ARRAY S&T (SIZE L)', '55013 INSTRUMENT ADAPTER STARLINK ANGLED 45°', '52429 BONE FIXATOR 2-PIN X-PRESS']",Orthopedic Stereotaxic Instrument,OLO,2025-01-28,'52411a patient reference array y-geometry x-press' '55104 instrument adapter clamp starlink size xl' '55016 instrument adapter starlink extension 50 mm' '55102 instrument adapter clamp starlink size m' '19142-06 radiolucent drapelink interface for calibration phantom intraoperative ct' '41802 instrument tracking array starlink size xl' '41799 instrument tracking array starlink size ml' '52410a patient reference array t-geometry x-press' '55103 instrument adapter clamp starlink size l' '55101 instrument adapter clamp starlink size s' '41798 instrument tracking array starlink size m' '41801 instrument tracking array starlink size l' '55830-29 instrument tracking array s&t (size l)' '55013 instrument adapter starlink angled 45°' '52429 bone fixator 2-pin x-press'
['AI-Rad Companion Organs RT (VA40)'],Radiological Image Processing Software For Radiation Therapy,QKB,2022-10-20,'ai-rad companion organs rt (va40)'
"['Invisalign Express 10', 'Invisalign System - Lite', 'Invisalign Go Express', 'Invisalign Access', 'Attachment Template', 'Invisalign Go Plus', 'Invisalign System - Teen Package', 'Invisalign Teen', 'Invisalign System', '3D Treatment Planning Software - ClinCheck Pro 6', 'Invisalign Touch-Up', 'Invisalign System - Express', 'Invisalign Express 5', 'Invisalign System - Comprehensive Phase 2', 'Invisalign Lite', 'Invisalign i7', 'iGo Plus', 'Invisalign System - Comprehensive', 'Invisalign First - Comprehensive', 'Invisalign Assist', 'iGo', 'Invisalign Go', 'Invisalign Full', 'Invisalign System - Moderate']","Aligner, Sequential",NXC,2024-07-03,'invisalign express 10' 'invisalign system - lite' 'invisalign go express' 'invisalign access' 'attachment template' 'invisalign go plus' 'invisalign system - teen package' 'invisalign teen' 'invisalign system' '3d treatment planning software - clincheck pro 6' 'invisalign touch-up' 'invisalign system - express' 'invisalign express 5' 'invisalign system - comprehensive phase 2' 'invisalign lite' 'invisalign i7' 'igo plus' 'invisalign system - comprehensive' 'invisalign first - comprehensive' 'invisalign assist' 'igo' 'invisalign go' 'invisalign full' 'invisalign system - moderate'
"['Invisalign Express 10', 'Invisalign System - Lite', 'Invisalign Go Express', 'Invisalign Access', 'Attachment Template', 'Invisalign Go Plus', 'Invisalign System - Teen Package', 'Invisalign Teen', 'Invisalign System', '3D Treatment Planning Software - ClinCheck Pro 6', 'Invisalign Touch-Up', 'Invisalign System - Express', 'Invisalign Express 5', 'Invisalign System - Comprehensive Phase 2', 'Invisalign Lite', 'Invisalign i7', 'iGo Plus', 'Invisalign System - Comprehensive', 'Invisalign First - Comprehensive', 'Invisalign Assist', 'iGo', 'Invisalign Go', 'Invisalign Full', 'Invisalign System - Moderate']",Orthodontic Software,PNN,2024-07-03,'invisalign express 10' 'invisalign system - lite' 'invisalign go express' 'invisalign access' 'attachment template' 'invisalign go plus' 'invisalign system - teen package' 'invisalign teen' 'invisalign system' '3d treatment planning software - clincheck pro 6' 'invisalign touch-up' 'invisalign system - express' 'invisalign express 5' 'invisalign system - comprehensive phase 2' 'invisalign lite' 'invisalign i7' 'igo plus' 'invisalign system - comprehensive' 'invisalign first - comprehensive' 'invisalign assist' 'igo' 'invisalign go' 'invisalign full' 'invisalign system - moderate'
['FUJI AMULETINNOVALITY DIGITAL BREAST TOMOSYNTHESIS'],Digital Breast Tomosynthesis,OTE,2024-04-24,'fuji amuletinnovality digital breast tomosynthesis'
